id	Date	sex	weight	wdate	wtime	dam	sire	room	cage	cond	origin	conception	type	remark	Description
r09042	2009-05-21	f				rh1993	r97070	ab119	0007	m	cen	2008-12-03	n		sex: f, dam: rh1993, sire: r97070, room: ab119, cage: 0007, cond: m, origin: cen, conception: 2008-12-03, type: n
r09040	2009-05-20	m				rh2131	r01037	ab110	0019	gm	cen	2008-12-05	n		sex: m, dam: rh2131, sire: r01037, room: ab110, cage: 0019, cond: gm, origin: cen, conception: 2008-12-05, type: n
r09041	2009-05-20	m				r99048	rh2142	ab118	0001	gm	cen	2008-12-06	n		sex: m, dam: r99048, sire: rh2142, room: ab118, cage: 0001, cond: gm, origin: cen, conception: 2008-12-06, type: n
r09039	2009-05-18	m				r95080	r98012	ab108	0015	gm	cen	2008-12-02	n		sex: m, dam: r95080, sire: r98012, room: ab108, cage: 0015, cond: gm, origin: cen, conception: 2008-12-02, type: n
r09038	2009-05-15	m				r98007	r98061	ab110	0003	m	cen	2008-11-30	n		sex: m, dam: r98007, sire: r98061, room: ab110, cage: 0003, cond: m, origin: cen, conception: 2008-11-30, type: n
r09037	2009-05-15	f				r01065	r02049	ab108	0011	gm	cen	2008-11-28	n		sex: f, dam: r01065, sire: r02049, room: ab108, cage: 0011, cond: gm, origin: cen, conception: 2008-11-28, type: n
r09036	2009-05-14	m				rhat64	r01089	ab119	0012	m	cen	2008-11-30	n		sex: m, dam: rhat64, sire: r01089, room: ab119, cage: 0012, cond: m, origin: cen, conception: 2008-11-30, type: n
r09035	2009-05-13	f				rhat44	r02052	ab118	0035	m	cen	2008-11-28	n		sex: f, dam: rhat44, sire: r02052, room: ab118, cage: 0035, cond: m, origin: cen, conception: 2008-11-28, type: n
cj1637	2009-05-10	m				cj0950	cj1157	a140a	0014	gmf	cen		n	quads; 1 stillborn (09c060)	sex: m, dam: cj0950, sire: cj1157, room: a140a, cage: 0014, cond: gmf, origin: cen, type: n, remark: quads; 1 stillborn (09c060)
cj1636	2009-05-10	f				cj0950	cj1157	a140a	0014	gmf	cen		n	quads; 1 stillborn (09c060)	sex: f, dam: cj0950, sire: cj1157, room: a140a, cage: 0014, cond: gmf, origin: cen, type: n, remark: quads; 1 stillborn (09c060)
cj1635	2009-05-10					cj0950	cj1157	a140a	0014	gmf	cen		n	quads; 1 stillborn (09c060)	dam: cj0950, sire: cj1157, room: a140a, cage: 0014, cond: gmf, origin: cen, type: n, remark: quads; 1 stillborn (09c060)
r09034	2009-05-08	f				r97076	r98055	ab110	0045	gm	cen	2008-11-27	n		sex: f, dam: r97076, sire: r98055, room: ab110, cage: 0045, cond: gm, origin: cen, conception: 2008-11-27, type: n
r09033	2009-05-08	f				rh2015	r01037	ab119	0015	p	cen	2008-11-26	n		sex: f, dam: rh2015, sire: r01037, room: ab119, cage: 0015, cond: p, origin: cen, conception: 2008-11-26, type: n
r09032	2009-05-05	m				r03144	r92064	ab163	0021	gm	cen	2008-11-14	n		sex: m, dam: r03144, sire: r92064, room: ab163, cage: 0021, cond: gm, origin: cen, conception: 2008-11-14, type: n
