id	Date	sex	status	avail	hold	dam	sire	origin	birth	death	arrivedate	arrivetime	departdate	departtime	room	cage	cond	weight	wdate	wtime	tbdate	medical	purchasedby	v_status
r09041	2009-05-20	m	alive	ab		r99048	rh2142	cen	2009-05-20						ab118	0001	gm	0.6600	2009-07-02	1970-01-01 09:05:00				
r09039	2009-05-18	m	alive	ab		r95080	r98012	cen	2009-05-18						ab108	0015	gm	0.9200	2009-07-27	1970-01-01 09:00:00				
r09038	2009-05-15	m	alive	ab		r98007	r98061	cen	2009-05-15						ab140	0010	m	0.7800	2009-07-14	1970-01-01 08:50:00				
r09037	2009-05-15	f	alive	ab		r01065	r02049	cen	2009-05-15						ab108	0011	gm	1.0200	2009-07-27	1970-01-01 09:00:00				
r09036	2009-05-14	m	alive	ab		rhat64	r01089	cen	2009-05-14						ab119	0012	m	0.7700	2009-07-07	1970-01-01 09:30:00				
r09035	2009-05-13	f	alive	ab		rhat44	r02052	cen	2009-05-13						ab118	0035	m	0.9000	2009-07-02	1970-01-01 09:05:00				
cj1637	2009-05-10	m	alive	u		cj0950	cj1157	cen	2009-05-10						a163a	0005	gmf	0.0450	2009-06-12	1970-01-01 09:00:00				
cj1636	2009-05-10	f	alive	u		cj0950	cj1157	cen	2009-05-10						a163a	0005	gmf	0.0410	2009-06-12	1970-01-01 09:00:00				
cj1635	2009-05-10		d-othr	u		cj0950	cj1157	cen	2009-05-10	2009-05-12					a140a	0014	gmf	0.0257	2009-05-12	1970-01-01 07:30:00				
r09033	2009-05-08	f	alive	ab		rh2015	r01037	cen	2009-05-08						ab119	0015	p	0.7200	2009-07-07	1970-01-01 09:30:00				
r09034	2009-05-08	f	alive	ab		r97076	r98055	cen	2009-05-08						ab140	0019	gm	0.9800	2009-07-14	1970-01-01 08:50:00				
r09032	2009-05-05	m	alive	ab		r03144	r92064	cen	2009-05-05						ab163	0021	gm	0.9500	2009-07-15	1970-01-01 09:30:00				
r09031	2009-05-03	f	alive	ab		r02087	r95092	cen	2009-05-03						ab163	0005	gm	0.8300	2009-07-15	1970-01-01 09:30:00				
r09030	2009-05-01	f	alive	ab		r96011		cen	2009-05-01						ab142	0021	gm	0.8100	2009-07-14	1970-01-01 10:25:00				
r09028	2009-05-01	m	alive	ab		r99009	rh2142	cen	2009-05-01						ab163	0023	gm	0.7500	2009-07-15	1970-01-01 09:30:00				
r09029	2009-05-01	m	alive	ab		rh1994	r95092	cen	2009-05-01						ab108	0049	gm	0.8700	2009-07-27	1970-01-01 09:00:00				
