id	Date	sex	status	avail	hold	dam	sire	origin	birth	death	arrivedate	arrivetime	departdate	departtime	room	cage	cond	weight	wdate	wtime	tbdate	medical	purchasedby	v_status
r08023	2008-06-25	f	alive	ab		r02034	r96018	cen	2008-06-25						mr1557	0001	p	2.2100	2009-07-21	1970-01-01 11:00:00	2009-07-02	viral exempt: yellow fever vaccination		SPF
r08020	2008-06-24	f	alive	u		r03004	r01042	cen	2008-06-24						cb11	0056	p	2.2900	2009-07-13	1970-01-01 09:00:00	2009-07-13			Conventional
r08021	2008-06-24	m	alive	ab		r96007	rh2094	cen	2008-06-24						c435	pen1	g	2.1800	2009-07-01	1970-01-01 08:45:00	2009-07-01			SPF
r08019	2008-06-24	f	alive	ar		rh2019	r97005	cen	2008-06-24						c327	0005	p	2.3400	2009-07-24	1970-01-01 11:10:00	2009-07-06	cranial implant		
r08018	2008-06-23	f	alive	ab		r95010	rh2150	cen	2008-06-23						ab112	0003	p	2.3500	2009-06-29	1970-01-01 09:50:00	2009-01-06			SPF
r08017	2008-06-19	m	alive	ab		rh1990	r95092	cen	2008-06-19						mr1557	0007	p	2.5400	2009-07-21	1970-01-01 11:00:00	2009-01-13			
r08016	2008-06-18	m	alive	ab		rh2021	r02075	cen	2008-06-18						ab112	0015	p	2.5300	2009-06-29	1970-01-01 09:50:00	2009-01-16			SPF
r08015	2008-06-13	m	alive	ab		r98056	rh2150	cen	2008-06-13						ab112	0015	p	2.5600	2009-06-29	1970-01-01 09:50:00	2009-01-06			SPF
r08014	2008-06-10	m	alive	ab		rh1946	r97070	cen	2008-06-10						mr1557	0007	p	2.7100	2009-07-21	1970-01-01 11:00:00	2009-01-13			
r08013	2008-06-09	f	alive	ab		r97092	rh2150	cen	2008-06-09						ab112	0013	p	1.9000	2009-07-22	1970-01-01 09:15:00	2009-07-07			
r08012	2008-06-08	f	alive	ab		r95012	r95092	cen	2008-06-08						ab112	0013	p	2.3100	2009-07-22	1970-01-01 09:15:00	2009-07-07			SPF
r08011	2008-06-05	m	alive	ab		r97104	r02075	cen	2008-06-05						ab126	0003	p	2.9500	2009-07-23	1970-01-01 10:30:00	2009-07-23			
r08010	2008-06-03	m	alive	ab		r00074	r95092	cen	2008-06-03						ab126	0003	p	2.4000	2009-07-23	1970-01-01 10:30:00	2009-07-23			SPF
cj1579	2008-05-23	m	alive	u		cj0686	cj0441	cen	2008-05-23						a165	0001	gm	0.3420	2009-07-27	1970-01-01 09:55:00	2009-05-18			
cj1580	2008-05-23	f	alive	u		cj0686	cj0441	cen	2008-05-23						a165	0001	gm	0.3750	2009-07-27	1970-01-01 09:55:00	2009-05-18			
r08009	2008-05-19	m	alive	ab		rh2020	r02075	cen	2008-05-19						mr1557	0005	p	3.0000	2009-07-21	1970-01-01 11:00:00	2009-01-13			
cj1576	2008-05-14	f	alive	u		cj0986	cj1297	cen	2008-05-14						a142	0004	gmf	0.3330	2009-06-15	1970-01-01 09:53:00	2009-05-20			
cj1575	2008-05-14	f	alive	u		cj0986	cj1297	cen	2008-05-14						a142	0004	gmf	0.4190	2009-06-15	1970-01-01 09:55:00	2009-05-20			
cj1578	2008-05-14		d-othr	u		cj0986	cj1297	cen	2008-05-14	2008-05-18					a142	0003	gmf							
cj1577	2008-05-14		d-othr	u		cj0986	cj1297	cen	2008-05-14	2008-05-18					a142	0003	gmf							
r08008	2008-05-10	m	alive	ab		rh1998	r96008	cen	2008-05-10						mr1557	0005	p	3.2100	2009-07-21	1970-01-01 11:00:00	2009-01-13			
r08007	2008-05-09	m	alive	ab		r98010	r97070	cen	2008-05-09						ab112	0009	p	2.4100	2009-06-12	1970-01-01 09:00:00	2009-01-06			SPF
cj1573	2008-04-17	f	d-othr	u		cj1282	cj1227	cen	2008-04-17	2008-04-19					a142	0004	gmf							
cj1572	2008-04-17	m	d-othr	u		cj1282	cj1227	cen	2008-04-17	2008-04-18					a142	0004	gmf							
cj1574	2008-04-17	f	alive	u		cj1282	cj1227	cen	2008-04-17						a165	0021	g	0.3050	2009-06-09	1970-01-01 14:40:00	2009-05-19			
