code	meaning
am	with adopted mother
b	breeding
c	chair
f	with the father
g	in a group (+3 animals living together)
gam	in a group with adopted mother
gf	in a group with father
gm	in a group with the mother
gmf	in a group with the mother and father
m	with the mother
p	paired
pc	protected contact paired
s	single
x	special housing condition
